兄弟 | 还不认亲 | Racism | hate [END]
南方人 | 喜欢代表北方，挑起南北对立 | Region | hate [SEP] 南方人 | 不夸东 | Region | hate [SEP] 南方人 | 赢麻了 | Region | hate [SEP] 南方系 | 喜欢代表北方，挑起南北对立 | Region | hate [SEP] 南方系 | 不夸东 | Region | hate [SEP] 南方系 | 赢麻了 | Region | hate [SEP] 南大 | 喜欢代表北方，挑起南北对立 | Region | hate [SEP] 南大 | 不夸东 | Region | hate [SEP] 南大 | 赢麻了 | Region | hate [SEP] 南方系媒体 | 喜欢代表北方，挑起南北对立 | Region | hate [SEP] 南方系媒体 | 不夸东 | Region | hate [SEP] 南方系媒体 | 赢麻了 | Region | hate [END]
男的 | 得被骂得满脸血 | Sexism | hate [END]
哈尔滨男人 | 好惨 | Sexism | hate [END]
中国原住民 | 被大猩猩不当命 | Racism | hate [END]
美国 | 太乱了 | non-hate | non-hate [END]
你老公 | 可能会离婚 | non-hate | non-hate [END]
吴签 | 没有宁波黑人高端 | Region | hate [END]
东夷 | 铸造华夏族的重要一部分 | non-hate | non-hate [END]
你 | 走路漏屎吗 | non-hate | non-hate [END]
黑人 | 不是全部女生都会找 | Racism | hate [END]
你这个** | 还想当吧主 | non-hate | non-hate [END]
非洲 | 你去 | Racism | hate [SEP] 黑人 | 你去 | Racism | hate [END]
浙江人 | 不屑于地域黑 | Region | hate [SEP] 浙江人 | 地域黑十斗 | Region | hate [SEP] 浙江人 | 独占八斗 | Region | hate [SEP] 江苏 | 不屑于地域黑 | Region | hate [SEP] 江苏 | 地域黑十斗 | Region | hate [SEP] 江苏 | 独占八斗 | Region | hate [SEP] 江苏人 | 不屑于地域黑 | Region | hate [SEP] 江苏人 | 地域黑十斗 | Region | hate [SEP] 江苏人 | 独占八斗 | Region | hate [END]
小红书上面的女的 | 一个比一个丑 | Sexism | hate [END]
他们 | 呵呵 别着急，下一个就是你他们，这么说吧如果他们没有强大的宣传机器，你再看看风评，同样抗疫支援，你看看宣传吧 | non-hate | non-hate [END]
呼呼 | 恨国党的天下 | Region | hate [SEP] 呼呼 | 故意搞分裂 | Region | hate [END]
女权 | 打压男性 | Sexism | hate [SEP] 女权 | 更霸道 | Sexism | hate [SEP] 外国的女权 | 打压男性 | Sexism | hate [SEP] 外国的女权 | 更霸道 | Sexism | hate [END]
上海夫妻 | 老婆生了个黑人小孩 | Region | hate [SEP] 上海夫妻 | 被批判 | Region | hate [END]
我发布的文章 | 也说我带有歧视 让 | non-hate | non-hate [SEP] 我 | 也说我带有歧视 让 | non-hate | non-hate [END]
骗子 | 骗子最多的城市 | Region | hate [SEP] 温州 | 骗子最多的城市 | Region | hate [END]
江南 | 对北方并不是很歧视 | Region | hate [SEP] 江南 | 很歧视北方 | Region | hate [SEP] 江南 | 抗日不抵抗 | Region | hate [SEP] 川渝 | 对北方并不是很歧视 | Region | hate [SEP] 川渝 | 很歧视北方 | Region | hate [SEP] 川渝 | 抗日不抵抗 | Region | hate [SEP] 北方 | 对北方并不是很歧视 | Region | hate [SEP] 北方 | 很歧视北方 | Region | hate [SEP] 北方 | 抗日不抵抗 | Region | hate [END]
大病 | 容易人传人 | non-hate | non-hate [END]
黑非洲 | 又替 | Region | hate [END]
黑贵人 | 用定时化学武器消灭 | Racism | hate [END]
txl | 以 | LGBTQ | hate [SEP] txl | 变态 | LGBTQ | hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
恶意传播传染病 | 冤有头债有主，谁害的找谁。如果受害者连报仇的勇气都没有，更不会有报复社会的勇气了。而是恶意传播传染病，是要坐牢的，你如果被人恶意传播了，直接报警就行了啊。反正害你的那个人本来也就活不了几年，正好让他坐牢坐到死啊。 | non-hate | non-hate [SEP] 你 | 冤有头债有主，谁害的找谁。如果受害者连报仇的勇气都没有，更不会有报复社会的勇气了。而是恶意传播传染病，是要坐牢的，你如果被人恶意传播了，直接报警就行了啊。反正害你的那个人本来也就活不了几年，正好让他坐牢坐到死啊。 | non-hate | non-hate [END]
大 | 千万不可以精尼 | Racism | hate [SEP] 你们 | 千万不可以精尼 | Racism | hate [END]
小仙女 | 要买爆了 | Sexism | hate [SEP] 小仙女 | 人 | Sexism | hate [END]
前男友 | 黑人 | Racism | hate [SEP] 前男友 | 有 | Racism | hate [SEP] 前男友 | 喜欢看别人干自己老婆 | Racism | hate [END]
傻B女 | 刷个抖音都有 | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外全球第二大贩毒和运毒和磕药的大户 | Racism | hate [END]
这帮地域黑喷子 | 团结起来 | Region | hate [SEP] 这帮地域黑喷子 | 对付 | Region | hate [END]
那些找泥搁的女人 | 智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代 | Sexism | hate [END]
男同 | 不是 | LGBTQ | hate [SEP] 男同 | 恶性 | LGBTQ | hate [SEP] 我 | 不是 | LGBTQ | hate [SEP] 我 | 恶性 | LGBTQ | hate [END]
黑人 | 专门勾搭中国妇女 | Racism | hate [END]
同性恋 | 天生的 | LGBTQ | hate [SEP] 同性恋 | 也没法 | LGBTQ | hate [SEP] 同性恋 | 扳弯 | LGBTQ | hate [SEP] 直男 | 天生的 | LGBTQ | hate [SEP] 直男 | 也没法 | LGBTQ | hate [SEP] 直男 | 扳弯 | LGBTQ | hate [END]
广东人 | 这些坏事都是 | Region | hate [END]
幕刃 | 真 | Sexism | hate [SEP] 幕刃 | 该死 | Sexism | hate [END]
女人 | 没脑子 | non-hate | non-hate [SEP] 这女人 | 没脑子 | non-hate | non-hate [END]
卡菲勒 | 同性恋 | non-hate | non-hate [END]
你 | 发这些什么目的 | non-hate | non-hate [END]
同性恋 | 家徒四壁就不应该设置防盗门了 | LGBTQ | hate [SEP] 同性恋 | 贼 | LGBTQ | hate [SEP] 同性恋 | 应该提防 | LGBTQ | hate [SEP] 变态基佬 | 家徒四壁就不应该设置防盗门了 | LGBTQ | hate [SEP] 变态基佬 | 贼 | LGBTQ | hate [SEP] 变态基佬 | 应该提防 | LGBTQ | hate [END]
江苏人 | 默认自己是日本的 | Region | hate [END]
他 | 该骂的是又同又飞舞的 | non-hate | non-hate [END]
河南新疆回族人 | 真的没有一点办法了 | Region | hate [SEP] 河南新疆回族人 | 3头不是人 | Region | hate [END]
黑人 | 好色 | Racism | hate [SEP] 黑人 | 智商很低 | Racism | hate [END]
饭桶吧主 | 就这战力？ | non-hate | non-hate [END]
通讯录 | 如何 | LGBTQ | hate [SEP] 通讯录 | 薄纱有性别焦虑问题的 | LGBTQ | hate [END]
我 | 完全同意 | non-hate | non-hate [SEP] 你 | 完全同意 | non-hate | non-hate [END]
这男的 | 这老师会被打死 | Sexism | hate [END]
没有被全国黑过的地方 | 这个故事告诉我们，没有被全国黑过的地方，不是太穷，就是太怂。实力和名气全没有，居然能防喷！也是强😅 | non-hate | non-hate [END]
这个尼 | 太恶心人 | Racism | hate [END]
大学生 | 感染艾滋病的几率是不断升高的 | non-hate | non-hate [SEP] 大学生 | 自 | non-hate | non-hate [SEP] 艾滋病携带者 | 感染艾滋病的几率是不断升高的 | non-hate | non-hate [SEP] 艾滋病携带者 | 自 | non-hate | non-hate [END]
好久都没有见过那么干净的白人班级了，一个黑乐色都没有 | 一个黑乐色都没有 | Racism | hate [END]
女拳 | 自我安慰的话术罢了 | Sexism | hate [END]
你 | 疯狗 | non-hate | non-hate [END]
你 | 要一棒子打死的人 | non-hate | non-hate [SEP] 他 | 要一棒子打死的人 | non-hate | non-hate [END]
小仙女 | 心地善良 | Sexism | hate [END]
女性地位能 | 确实，女性地位能提高的的确确是好的趋势 | non-hate | non-hate [END]
女拳师 | 是不是 | Sexism | hate [SEP] 女拳师 | 经费没覆盖？😆 | Sexism | hate [END]
上海 | 王 | Region | hate [SEP] 上海 | 外地逼) | Region | hate [SEP] 上海 | 乡下人 | Region | hate [END]
这些人 | 就这水平了 | non-hate | non-hate [SEP] 这种人 | 就这水平了 | non-hate | non-hate [END]
你们这种人 | 你 | non-hate | non-hate [SEP] 你们这种人 | 以为 | non-hate | non-hate [END]
西南地区及东北地区 | 黑河南和 | Region | hate [SEP] 西南地区及东北地区 | 没什么本事 只会在网 | Region | hate [SEP] 西南地区及东北地区 | 有着不为人知的优越感！ | Region | hate [SEP] 南蛮 | 黑河南和 | Region | hate [SEP] 南蛮 | 没什么本事 只会在网 | Region | hate [SEP] 南蛮 | 有着不为人知的优越感！ | Region | hate [SEP] 他们 | 黑河南和 | Region | hate [SEP] 他们 | 没什么本事 只会在网 | Region | hate [SEP] 他们 | 有着不为人知的优越感！ | Region | hate [END]
精 | 肉体伤害可以定罪 | non-hate | non-hate [SEP] 男方 | 肉体伤害可以定罪 | non-hate | non-hate [END]
黑蛆 | 是 | Racism | hate [END]
拳师 | 居然 | Sexism | hate [SEP] 拳师 | 没有一个 | Sexism | hate [END]
狐臭 | 遗传没跑了 | Racism | hate [END]
上网那么久就没见过西藏和青海的网友-_-|| | 上网那么久就没见过西 | non-hate | non-hate [END]
度度 | 能不能给我道歉啊 | non-hate | non-hate [END]
这一类人 | 种花家的不幸 | Racism | hate [END]
正常人 | 笑 | LGBTQ | hate [SEP] 正常人 | 猪 | LGBTQ | hate [SEP] 正常人 | 散播 | LGBTQ | hate [SEP] 同性恋 | 笑 | LGBTQ | hate [SEP] 同性恋 | 猪 | LGBTQ | hate [SEP] 同性恋 | 散播 | LGBTQ | hate [SEP] 校 | 笑 | LGBTQ | hate [SEP] 校 | 猪 | LGBTQ | hate [SEP] 校 | 散播 | LGBTQ | hate [END]
黑 | 轮着 | Racism | hate [SEP] 黑 | 不 | Racism | hate [SEP] 黑 | 今天到我家🤭🤭 | Racism | hate [END]
男男 | 老 | non-hate | non-hate [SEP] 男男 | 违法献血 | non-hate | non-hate [END]
猩猩 | 就差与 | Racism | hate [END]
你 | 一定不会是反串 | non-hate | non-hate [END]
恩施 | 卷子 | non-hate | non-hate [SEP] 恩施 | 一主两副 | non-hate | non-hate [SEP] 湖北 | 卷子 | non-hate | non-hate [SEP] 湖北 | 一主两副 | non-hate | non-hate [END]
巴黎人 | 到上海都是横行霸道的 | Region | hate [END]
上 | 下面高赞评论淹死 | Region | hate [SEP] 上海 | 下面高赞评论淹死 | Region | hate [END]
小黑马 | 摘完棉花吃西瓜 | non-hate | non-hate [END]
华人 | 在当地就是被掠杀的对象 | Region | hate [SEP] 华人 | 低人一等 | Region | hate [SEP] 中国人 | 在当地就是被掠杀的对象 | Region | hate [SEP] 中国人 | 低人一等 | Region | hate [END]
民族 | 还是民族自信不够 | non-hate | non-hate [END]
你 | 嫌 | Region | hate [SEP] 中国 | 嫌 | Region | hate [END]
毛妹 | 找猩猩其实就是为了找刺激 | Racism | hate [SEP] 毛妹 | 不会冒艾滋风险和臭气找猩猩 | Racism | hate [SEP] 有些 | 找猩猩其实就是为了找刺激 | Racism | hate [SEP] 有些 | 不会冒艾滋风险和臭气找猩猩 | Racism | hate [SEP] 瘾大的女人 | 找猩猩其实就是为了找刺激 | Racism | hate [SEP] 瘾大的女人 | 不会冒艾滋风险和臭气找猩猩 | Racism | hate [SEP] 她 | 找猩猩其实就是为了找刺激 | Racism | hate [SEP] 她 | 不会冒艾滋风险和臭气找猩猩 | Racism | hate [END]
你 | 自己玩游戏玩的不好，还骂别人吗？ | non-hate | non-hate [END]
安徽人 | 不坏 | non-hate | non-hate [END]
欢 | 一起讨论 | non-hate | non-hate [SEP] 大家 | 一起讨论 | non-hate | non-hate [END]
猴痘 | 目前认为是体液传播 | non-hate | non-hate [END]
黑猩猩 | 帅个屁 | Racism | hate [END]
狗比 | 贱货 | Sexism | hate [END]
南满 | 满子 | Region | hate [END]
宁波工程外教 | 老好人了 | non-hate | non-hate [END]
暴躁老哥 | 也去霍霍非洲世界小姐们了 | Sexism. Racism | hate [SEP] 抖音上那群老板 | 也去霍霍非洲世界小姐们了 | Sexism, Racism | hate [END]
女性 | 生产力 | Sexism | hate [SEP] 女性 | 追求更大的权利地位，而不想承担责任 | Sexism | hate [END]
lkd | 随机带走几个 | Sexism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
这个黑人 | 非洲国家乌干达的 | non-hate | non-hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
NULL | 反自己民族主义的 | non-hate | non-hate [END]
黑人 | 作死害百姓 | Racism | hate [END]
国女 | 把我私信炸了 | Sexism | hate [END]
狐臭 | 闻见 | non-hate | non-hate [END]
你 | 独立的个人 | non-hate | non-hate [SEP] 你 | 应当拥有自由 | non-hate | non-hate [END]
黑人 | 心理膈应 | Racism | hate [END]
现代女生 | 接受教育 | non-hate | non-hate [END]
女的 | 哪个不是这样 | Sexism | hate [END]
他 | 对妻子不负责任，像陌生人 | non-hate | non-hate [END]
和印度人结婚的女的 | 华人圈子里也没有 | Racism | hate [SEP] 她 | 华人圈子里也没有 | Racism | hate [END]
NULL | 去喜欢中国的地方留学 | non-hate | non-hate [END]
非洲 | 别留在中国祸害人 | Racism | hate [END]
女性 | 接受高等教育比例超过男性 | non-hate | non-hate [SEP] 女性 | 不赞同 | non-hate | non-hate [SEP] 女性 | 不适合学理工科” | non-hate | non-hate [SEP] 女生 | 接受高等教育比例超过男性 | non-hate | non-hate [SEP] 女生 | 不赞同 | non-hate | non-hate [SEP] 女生 | 不适合学理工科” | non-hate | non-hate [END]
zzzq | 都魔怔了 | non-hate | non-hate [END]
我们 | 蝈腩😆 | Sexism | hate [END]
它们 | 穷 | Racism | hate [SEP] 他们 | 懒惰 | Racism | hate [END]
这个女人 | 没死 | non-hate | non-hate [END]
炳蔚通知书 | 落在头上是写着艾的，还砸出血了 | Sexism, others | hate [END]
南方人 | 骂东北人 | Region | hate [END]
河南 | 不要以为 | non-hate | non-hate [END]
女籍 | 开除 | Sexism | hate [END]
陕西关中人和陕南人 | 黑陕北人 | non-hate | non-hate [END]
某些山驴b | 喜欢拉黑本大爹 | Region | hate [END]
她 | 自甘堕落带给我的只有怒其不争的悲伤 | non-hate | non-hate [END]
黑蛆 | 清楚计划 | Racism | hate [END]
穷 | 原罪 | non-hate | non-hate [END]
繁殖的性需求 | 推动人类社会发展的重要动力 | non-hate | non-hate [END]
黄种人 | 不care | Racism | hate [SEP] 黄种人 | 为什么要那么在意别人怎么看 | LGBTQ | hate [END]
黑人 | 土人的一种 | Racism | hate [END]
NULL | 几个视频都看过 | non-hate | non-hate [END]
eg | 老外安上去 | Racism | hate [SEP] eg | 关中国人什么事 | Racism | hate [END]
这种女的 | 玩的浪不顾家 | Sexism | hate [SEP] 这种女的 | 管女儿的时候玩手机打牌 | Sexism | hate [SEP] 釹的 | 管女儿的时候玩手机打牌 | Sexism | hate [END]
男的 | 应该没有几个会娶 | Racism, Sexism | hate [SEP] 黑人女 | 应该没有几个会娶 | Racism, Sexism | hate [END]
恶心人的 | 在那里讲如何掰弯别人 | LGBTQ | hate [END]
河南 | 不好 | non-hate | non-hate [END]
ezg | 喜欢 | Sexism | hate [SEP] 老实人 | 祈求以后不会娶到和动物玩过的 | Sexism, Racism | hate [END]
西方 | 为了用身份政治来控制人民 | Region | hate [SEP] 西方 | 高高在上 | Region | hate [SEP] 过街老鼠 | 为了用身份政治来控制人民 | Region | hate [SEP] 过街老鼠 | 高高在上 | Region | hate [SEP] 资本财 | 为了用身份政治来控制人民 | Region | hate [SEP] 资本财 | 高高在上 | Region | hate [END]
你 | 嫁给嫁给日本人 | Region | hate [END]
她们 | 喜欢拳 | Sexism | hate [END]
黑人 | 太容易得到中国女生了 | Racism | hate [END]
你 | 贵物 | non-hate | non-hate [END]
南昌市 | 天下英雄城 文明 | Region | hate [END]
3391 一名被定罪的性犯罪者 | 致命驾车 | non-hate | non-hate [END]
这人 | 心里极其残忍 | non-hate | non-hate [END]
他们 | 张口闭口说只有同性才是真爱 | LGBTQ | hate [END]
性取向 | 别人的自由 | non-hate | non-hate [END]
深柜 | 竟在反同身边 | LGBTQ | hate [END]
NULL | 年度格斗场了 | non-hate | non-hate [END]
某些txl | 自欺欺人 | LGBTQ | hate [END]
两个上海人 | 举报说这两个人在偷偷骂他 | non-hate | non-hate [SEP] 这两个人 | 可怕的是、明明两个上海人在公司用上海话聊天、会被其他人举报说这两个人在偷偷骂他。 | non-hate | non-hate [END]
艾滋病 | 好好治也能活很久 | non-hate | non-hate [END]
安徽 | 没啥存在感吧 | Region | hate [END]
题主 | 反串女 | Sexism | hate [END]
物种问题 | 没得谈 | Racism | hate [END]
黑人 | 又发黑人丑照，滚滚滚 | Racism | hate [END]
基佬 | 艾滋 | LGBTQ, others | hate [END]
女拳 | 针对 | Sexism | hate [END]
她 | 中资企业还雇佣 | non-hate | non-hate [END]
回族 | 有什么问题？ | non-hate | non-hate [END]
男人 | 脑子不太聪明分不清sao货和良女 | Sexism | hate [SEP] 男人 | 不要婚前性行为 | Sexism | hate [END]
米国 | 各位就别管了 | non-hate | non-hate [END]
內個虛空法師 | 什麼豬精 | Sexism | hate [END]
处女膜 | 流血 | Sexism | hate [END]
南 | 经济重心从唐开始就往南移了，为何你觉得南方比北方穷 | non-hate | non-hate [END]
NULL | 撑同 | LGBTQ | hate [END]
河南人 | 听口音这么像 | on-hate | non-hate [END]
基狫 | 打出血 | LGBTQ | hate [END]
性别比例 | 因为性别比例失调啊，有什么不能理解吗？ | non-hate | non-hate [END]
娶黑人的 | 也会被骂 | Racism | hate [END]
小红书 | 妆改容貌焦虑 | non-hate | non-hate [END]
河南人 | 快被黑成贬义词了 | on-hate | non-hate [END]
极端nc女人 | 淘汰 | Sexism | hate [END]
地域黑 | 新闻标题非要扣到河南头上 | on-hate | non-hate [END]
吴施蒙 | 大家不信中国女人了 | on-hate | non-hate [END]
小仙女 | 就是想做 | Sexism | hate [END]
情商 | 太低 | others | hate [END]
评论区 | 谁破防了 | non-hate | non-hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 大开眼界 | Racism | hate [END]
你 | 让我看看 | non-hate | non-hate [END]
女性 | 对世界贡献更大 | non-hate | non-hate [SEP] 你 | 对世界贡献更大 | non-hate | non-hate [END]
人家 | 带着任务赚流量的🤣 | non-hate | non-hate [END]
同性恋 | 讨厌 | LGBTQ | hate [SEP] 同性恋 | 在官配CP或后宫番里面刷 | LGBTQ | hate [SEP] 一群NT | 讨厌 | LGBTQ | hate [SEP] 一群NT | 在官配CP或后宫番里面刷 | LGBTQ | hate [END]
你 | 读书读糊涂了 | non-hate | non-hate [END]
以前的工作 | 大都是体力活 | non-hate | non-hate [END]
女的 | 黑白在学校门口扭打 | Sexism, Racism | hate [END]
黑哥 | 常规操作了 | Racism | hate [END]
评论 | 踩 | non-hate | non-hate [END]
她们 | 自低自贱 | Sexism | hate [SEP] 她们 | 让我国混血变多，艾滋病变多 | Sexism, Racism | hate [SEP] 入汉族的黑串串 | 已经很多了 | Racism | hate [END]
河南人 | 还不错 | non-hate | non-hate [END]
NULL | 吧里有些老哥看不到所谓主要矛盾啊 | non-hate | non-hate [END]
这些女的 | 最后浪完回头找国内的 | Sexism, Racism | hate [SEP] 大部分 | 最后浪完回头找国内的 | Sexism, Racism | hate [END]
琪贵人 | 想掐死她吗？ | non-hate | non-hate [END]
台资 | 仅次于半导体的第二大无烟工业 | non-hate | non-hate [SEP] 台湾 | 仅次于半导体的第二大无烟工业 | non-hate | non-hate [END]
黑吹子 | 有啥可说的 | Racism | hate [END]
老外 | 觉得怪 | non-hate | non-hate [END]
黑人 | 原始社会 | Racism | hate [END]
爱 | 猩动保人士 | Racism | hate [END]
对面 | 搞不好也就15年 | non-hate | non-hate [END]
谁家街留子 | 要了马上就降两档次 | Sexism | hate [END]
他 | 真心听不懂 | non-hate | non-hate [END]
嘿枸 | 浑身弥漫着低劣程度的气息 | Racism | hate [SEP] 嘿枸 | 天生令人厌恶 | Racism | hate [END]
同性恋 | 恶心 | LGBTQ | hate [END]
它 | 抽 | others | hate [END]
重庆 | 反同吧吧主小号 | LGBTQ | hate [END]
同性恋 | 弄死他们 | LGBTQ | hate [END]
基佬 | 恶心 | LGBTQ | hate [END]
txl | 去死 | LGBTQ | hate [END]
果子狸 | 前几年很嚣张举报都没用 | non-hate | non-hate [END]
国男 | 性获取难度 | non-hate | non-hate [END]
我们内地 | 黑得很惨 | Region | hate [END]
女拳 | 回复楼里这个被我说破防的。为啥“有没有可能把人类分为男女属于封建余孽”是女拳？可以解释下吗？我觉得无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益就是女拳？那你这就被我说破防了，急的拉黑我。是不是跟大女权主义分子样虚伪的大男权主义分子？正因为我认为人类应该是个整体，所以我反女权，男权应该不会跟女权样认为人类应该分为男女吧？ | Sexism | hate [SEP] 女 | 回复楼里这个被我说破防的。为啥“有没有可能把人类分为男女属于封建余孽”是女拳？可以解释下吗？我觉得无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益就是女拳？那你这就被我说破防了，急的拉黑我。是不是跟大女权主义分子样虚伪的大男权主义分子？正因为我认为人类应该是个整体，所以我反女权，男权应该不会跟女权样认为人类应该分为男女吧？ | Sexism | hate [SEP] 女权 | 回复楼里这个被我说破防的。为啥“有没有可能把人类分为男女属于封建余孽”是女拳？可以解释下吗？我觉得无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益就是女拳？那你这就被我说破防了，急的拉黑我。是不是跟大女权主义分子样虚伪的大男权主义分子？正因为我认为人类应该是个整体，所以我反女权，男权应该不会跟女权样认为人类应该分为男女吧？ | Sexism | hate [END]
彩礼 | 违法 | non-hate | non-hate [END]
喵神 | 让人挑不出骨头来 | non-hate | non-hate [END]
她们 | 热爱自由我支持 | non-hate | non-hate [END]
哥布林 | 不出现在人类面前的 | Racism | hate [END]
我 | 自卑 | Region | hate [END]
杨圣母 | 恶心全体男性 | Sexism | hate [END]
仙女 | 中国还是纯黄种人为好 | Sexism, Racism | hate [END]
你们男的 | 恶心 | Sexism | hate [END]
来路不明的女的 | 感染艾滋病了 | Sexism, Racism | hate [END]
黑人 | 人种研究的书 | Racism | hate [END]
easy girl | 比国男好得多 | Sexism | hate [END]
NULL | 病态 | LGBTQ | hate [END]
畒 | 破防啦 | Sexism | hate [END]
河南人 | 不招 | Region | hate [END]
内卷 | 有底线 | non-hate | non-hate [SEP] 那个男的 | 一辈子抬不起头 | non-hate | non-hate [END]
NULL | 反同 | LGBTQ | hate [END]
b乎 | 人均985 | non-hate | non-hate [END]
东北人 | 很讨厌 | Region | hate [END]
人形畜狌 | 只有本能除了寄声就是寝犯种群 | Racism | hate [END]
四川 | 根本不是 | non-hate | non-hate [END]
贴吧系统 | 多发 | non-hate | non-hate [END]
中国女人 | 已经不是那样的 | Sexism | hate [END]
唐朝前期的公主外嫁 | 和后面的五胡乱华有很大关系哟 | non-hate | non-hate [END]
魔方基因 | 一听就不靠谱😆 | Racism | hate [END]
结了婚的通讯录 | 不出瑰的几乎为零 | LGBTQ | hate [END]
这个 | 友军 | non-hate | non-hate [END]
宁 | 比得上人家吗 | non-hate | non-hate [END]
你的意见 | 有个屁用 | others | hate [END]
这几个博主 | 起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中原说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语😲😲😲😲 | Region | hate [SEP] 冯丽 | 起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中原说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语😲😲😲😲 | Region | hate [SEP] 河南人 | 起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中原说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语😲😲😲😲 | Region | hate [SEP] 这些人 | 起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中原说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语😲😲😲😲 | Region | hate [END]
这女的 | 有精神类疾病 | Sexism | hate [END]
臭gay | 原来是个 | LGBTQ | hate [END]
女生 | 因 | Sexism | hate [SEP] 女生 | 计划生育导致 | Sexism | hate [END]
不好意思，纯洁美好不是你来定义的，我还可以说鼻涕虫交配也是自然而然纯洁美好，所以那些觉得鼻涕虫交配恶心的人就是冷漠了？是不是大家都要赞扬一番啊？别人不来干涉就行了，你还蹬鼻子上脸了 | 冷漠 | Racism | hate [END]
easy girl | 崇媚 | Region | hate [SEP] easy girl | 国内211 | Region | hate [SEP] easy girl | 随便挑几个会比 | Region | hate [SEP] 这种人 | 崇媚 | Region | hate [SEP] 这种人 | 国内211 | Region | hate [SEP] 这种人 | 随便挑几个会比 | Region | hate [END]
穿衣服的猩猩 | 只是皮肤黑，就被人歧视 | Racism | hate [END]
你这种烂鲍鱼 | 普信女⁉ | Sexism | hate [END]
有些 | 对中国人印象不错 | non-hate | non-hate [SEP] 欧洲小国 | 对中国人印象不错 | non-hate | non-hate [END]
基佬 | 炼铜是人尽皆知的 | LGBTQ | hate [END]
我 | 连谈恋爱都不想 | non-hate | non-hate [END]
这种垃圾 | 现在就 | Racism | hate [SEP] 这种垃圾 | 身染 | Racism | hate [SEP] 艾资 | 现在就 | Racism | hate [SEP] 艾资 | 身染 | Racism | hate [END]
这样的男女 | 跟黑人出国 | Racism | hate [SEP] 这样的男女 | 智力水平也般配 | Racism | hate [END]
两 | 被黑 | Region | hate [SEP] 河南 | 被黑 | Region | hate [SEP] 河南人 | 被黑 | Region | hate [END]
普信男 | 对 | Sexism | hate [SEP] 普信女 | 对 | Sexism | hate [END]
你 | 基因“本能”厌恶同 | LGBTQ | hate [END]
你 | lkd | Sexism | hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | hate [END]
這男的 | 據說好像還原諒了她 | non-hate | non-hate [END]
微博 | 能是什么好地方！ | non-hate | non-hate [END]
笑死了我发了一篇贵物男拳帖被删了 | 我 | Sexism | hate [SEP] 笑死了我发了一篇贵物男拳帖被删了 | 发了一篇贵物男拳帖被删了 | Sexism | hate [END]
舔狗约炮 | 这我就不赞同了，结婚生孩子就要体验分娩？要我说舔狗约炮都必须体验分娩 | Sexism | hate [END]
这只狗狗 | YD长在了猩猩身上 | non-hate | non-hate [SEP] 会 | YD长在了猩猩身上 | non-hate | non-hate [END]
拳师 | 日常化的高级妆 | Sexism | hate [END]
浙江 | 气候 | non-hate | non-hate [SEP] 浙江 | 并不宜居 | non-hate | non-hate [END]
东北河南 | 一家亲 | non-hate | non-hate [END]
三非黑人 | 该驱逐驱逐 | Racism | hate [SEP] 三非黑人 | 别做 | Racism | hate [SEP] 三非 | 该驱逐驱逐 | Racism | hate [SEP] 三非 | 别做 | Racism | hate [END]
这种就是为牢房准备的犯人，从小就能看出他很有暴力倾向智商低喜欢攻击攻击人 | 很有暴力倾向智商低喜欢攻击攻击人 | Racism | hate [END]
