兄弟 | 还不认亲 | Racism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | Racism | hate [END]
南方 | 喜欢代表北方 | Region | hate [SEP] 南方 | 把 | Region | hate [SEP] 南方 | 南大人 | Region | hate [SEP] 东北（黑龙江）的 | 喜欢代表北方 | Region | hate [SEP] 东北（黑龙江）的 | 把 | Region | hate [SEP] 东北（黑龙江）的 | 南大人 | Region | hate [SEP] 南方系媒体 | 喜欢代表北方 | Region | hate [SEP] 南方系媒体 | 把 | Region | hate [SEP] 南方系媒体 | 南大人 | Region | hate [END]
男的 | 得被骂得满脸血 | Sexism | hate [END]
哈尔滨男人 | 好惨 | Sexism | hate [END]
老赵，来讲讲中国原住民被大猩猩不当命的现象 | 被大猩猩不当命 | Racism | hate [END]
美国 | 太乱了 | non-hate | non-hate [END]
你老公 | 可能会离婚 | non-hate | non-hate [END]
吴签 | 没有宁波黑人高端 | Racism | hate [END]
东夷 | 铸造华夏族的重要一部分 | non-hate | non-hate [END]
你 | 走路漏屎吗 | non-hate | non-hate [END]
黑人 | 不是全部女生都会找 | Racism | hate [END]
你这个** | 还想当吧主 | non-hate | non-hate [END]
黑人 | 你去非洲跟 | Racism | hate [END]
浙江人 | 不屑于地域黑 | Region | hate [SEP] 浙江人 | 地域黑十斗 | Region | hate [SEP] 江苏 | 不屑于地域黑 | Region | hate [SEP] 江苏 | 地域黑十斗 | Region | hate [SEP] 江苏人 | 不屑于地域黑 | Region | hate [SEP] 江苏人 | 地域黑十斗 | Region | hate [END]
小红书上面的女的 | 一个比一个丑 | Sexism | hate [SEP] 小红书上面的女的 | 全是p图到极致那种 | Sexism | hate [END]
他们 | 呵呵 别着急，下一个就是你他们，这么说吧如果他们没有强大的宣传机器，你再看看风评，同样抗疫支援，你看看宣传吧 | non-hate | non-hate [END]
呼呼 | 恨国 | Region | hate [SEP] 呼呼 | 故意搞分裂 | Region | hate [END]
女权 | 打压男性 | Sexism | hate [SEP] 女权 | 更霸道 | Sexism | hate [SEP] 外国的女权 | 打压男性 | Sexism | hate [SEP] 外国的女权 | 更霸道 | Sexism | hate [END]
上海夫妻 | 老婆生了个黑人小孩 | Racism | hate [SEP] 上海夫妻 | 被批判 | Racism | hate [END]
我 | 说我带有歧视 | non-hate | non-hate [END]
温州 | 骗子 | non-hate | non-hate [SEP] 温州 | 骗子最多的城市 | non-hate | non-hate [END]
川渝 | 对北方并不是很歧视 | Region | hate [SEP] 川渝 | 很歧视北方 | Region | hate [SEP] 川渝 | 东北衰落，西南崛起 | Region | hate [END]
大病 | 容易人传人 | non-hate | non-hate [END]
黑非洲 | 蛤蚧，又替黑非洲来抢劫埃及文明啦。历史上北非文明与黑非洲不是一个体系。 | Racism | hate [END]
黑贵人 | 用定时化学武器消灭 | Racism | hate [END]
txl | 以 | LGBTQ | hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
恶意传播传染病 | 是 | non-hate | non-hate [SEP] 恶意传播传染病 | 要坐牢的 | non-hate | non-hate [END]
大家 | 可以精法、精苏 | Racism | hate [SEP] 大家 | 千万不可以精尼 | Racism | hate [SEP] 你们 | 可以精法、精苏 | Racism | hate [SEP] 你们 | 千万不可以精尼 | Racism | hate [END]
小仙女 | 买爆了 | Sexism | hate [END]
前男友 | 喜欢看别人干自己老婆 | Racism | hate [END]
傻B女⭕ | 刷个抖音都有 | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外 | Racism | hate [SEP] 虫类及其后代虫混 | 全球第二大贩毒和运毒和磕药的大户 | Racism | hate [END]
这帮地域黑喷子 | 团结起来 | Region | hate [SEP] 这帮地域黑喷子 | 对付 | Region | hate [END]
那些找泥搁的女人 | 智商水平， | Sexism | hate [SEP] 那些找泥搁的女人 | 社会责任感和价值观显然不配 | Sexism | hate [END]
男同 | 恶性 | LGBTQ | hate [END]
黑人 | 专门勾搭中国妇女 | Racism | hate [END]
同性恋 | 天 | LGBTQ | hate [SEP] 直男 | 天 | LGBTQ | hate [END]
广东人 | 这些坏事都是 | Region | hate [END]
幕刃 | 真的该死 | Sexism | hate [END]
女人 | 没脑子 | Sexism | hate [SEP] 这女人 | 没脑子 | Sexism | hate [END]
卡菲勒 | 卡菲勒是同性恋🤭 | non-hate | non-hate [END]
你 | 发这些什么目的 | non-hate | non-hate [END]
同 | 家徒四壁就不应该设置防盗门了 | LGBTQ | hate [SEP] 同 | 提防 | LGBTQ | hate [SEP] 变态基佬 | 家徒四壁就不应该设置防盗门了 | LGBTQ | hate [SEP] 变态基佬 | 提防 | LGBTQ | hate [END]
江苏人 | 默认自己是日本的 | Region | hate [END]
他 | 很伟大的科学家 | non-hate | non-hate [SEP] 他 | 该骂的是又同又飞舞的 | non-hate | non-hate [END]
河南新疆回族人 | 3头不是人 | Region | hate [END]
黑人 | 好色 | Racism | hate [SEP] 黑人 | 智商很低 | Racism | hate [END]
饭桶吧主 | 就这战力？ | non-hate | non-hate [END]
通讯录 | 薄纱 | LGBTQ | hate [END]
你 | 我 | non-hate | non-hate [SEP] 你 | 完全同意 | non-hate | non-hate [END]
这男的 | 这男的父母看见我想这老师会被打死 | non-hate | non-hate [END]
没有被全国黑过的地方 | 太怂 | Region | hate [END]
这个尼 | 太恶心人 | Sexism | hate [SEP] 这女的 | 太恶心人 | Sexism | hate [END]
大学生 | 感染艾滋病的几率是不断升高的 | non-hate | non-hate [SEP] 大学生 | 自己都不知道 | non-hate | non-hate [SEP] 艾滋病携带者 | 感染艾滋病的几率是不断升高的 | non-hate | non-hate [SEP] 艾滋病携带者 | 自己都不知道 | non-hate | non-hate [END]
白人班级 | 一个 | Racism | hate [SEP] 黑 | 一个 | Racism | hate [END]
女拳 | 自我安慰的话术罢了 | Sexism | hate [END]
你 | 疯狗 | non-hate | non-hate [END]
你 | 要一棒子打死的人 | non-hate | non-hate [SEP] 他 | 要一棒子打死的人 | non-hate | non-hate [END]
小仙女 | 心地善良 | non-hate | non-hate [SEP] 小仙女 | 为 | non-hate | non-hate [END]
女性地位能 | 好的趋势 | non-hate | non-hate [END]
女拳师 | 是不是 | Sexism | hate [SEP] 女拳师 | 经费没覆盖？😆 | Sexism | hate [END]
上海 | 王德彪（ | Region | hate [SEP] 上海 | 外地逼 | Region | hate [SEP] 上海 | 乡下人 | Region | hate [END]
这些人 | 也就这水平了 | non-hate | non-hate [SEP] 能在知乎上搞地域歧视的人 | 也就这水平了 | non-hate | non-hate [END]
你们这种人 | 你 | non-hate | non-hate [SEP] 你们这种人 | 以为 | non-hate | non-hate [SEP] 你们这种人 | 跑得出去？ | non-hate | non-hate [END]
西南地区及东北地区 | 黑 | Region | hate [SEP] 西南地区及东北地区 | 南蛮搞的鬼 | Region | hate [SEP] 西南地区及东北地区 | 有着 | Region | hate [SEP] 西南地区及东北地区 | 不为人知的优越感 | Region | hate [END]
男方 | 所以问题的本质还是出在肉体伤害可以定罪而精神伤害和冷暴力无法定量和定罪还是那句话，不扯结婚证啥事儿没有，再BB直接赶出门，反正房子都是男方买的 | non-hate | non-hate [END]
黑蛆 | 是不是“人” | Racism | hate [END]
拳师 | 居然没有一个拳师冲。 | Sexism | hate [END]
狐臭 | 得不得病我不知道，反正狐臭遗传没跑了🤣，估计在中国他的味道肯定会很受欢迎吧 | Racism | hate [SEP] 他 | 得不得病我不知道，反正狐臭遗传没跑了🤣，估计在中国他的味道肯定会很受欢迎吧 | Racism | hate [END]
西藏和青海的网友 | 上网那么久就没见过 | non-hate | non-hate [END]
度度 | 度度，拿不出证据的话能不能给我道歉啊 | non-hate | non-hate [END]
这一类人 | 种花家的不幸 | Racism | hate [END]
同性恋 | 笑正 | LGBTQ | hate [SEP] 同性恋 | 散播 | LGBTQ | hate [END]
黑 | 轮 | Racism | hate [SEP] 黑 | 不过 | Racism | hate [SEP] 黑 | 今天到我家🤭🤭 | Racism | hate [END]
男男 | 违法献血 | non-hate | non-hate [END]
猩猩 | 就差与 | Racism | hate [END]
你 | 一定不会是反串 | non-hate | non-hate [END]
湖北 | 卷子 | non-hate | non-hate [SEP] 湖北 | 一 | non-hate | non-hate [SEP] 湖北 | 在中部地级市里排名前三 | non-hate | non-hate [END]
巴黎人 | 横行霸道的 | Region | hate [END]
上海 | 高赞评论淹死 | Region | hate [SEP] 上海人 | 高赞评论淹死 | Region | hate [END]
小黑马 | 摘完棉花吃西瓜 | non-hate | non-hate [END]
华人 | 低人一等 | Racism | hate [SEP] 中国人 | 低人一等 | Racism | hate [END]
民族 | 还是民族自信不够 | non-hate | non-hate [END]
你 | 嫌 | non-hate | non-hate [SEP] 中国 | 嫌 | non-hate | non-hate [END]
毛妹 | 找猩猩其实就是为了找刺激 | Racism | hate [SEP] 瘾大的女人 | 找猩猩其实就是为了找刺激 | Racism | hate [SEP] 她们 | 找猩猩其实就是为了找刺激 | Racism | hate [END]
你 | 自己玩游戏玩的不好，还骂别人吗？ | non-hate | non-hate [END]
安徽人 | 不坏 | non-hate | non-hate [END]
大家 | 欢迎 | non-hate | non-hate [END]
猴痘 | 目前认为是体液传播 | non-hate | non-hate [END]
黑猩猩 | 帅个屁 | Racism | hate [END]
狗比 | 贱货 | Sexism | hate [END]
南满 | 满子 | Region | hate [END]
宁波工程外教 | 老好人了 | non-hate | non-hate [END]
暴躁老哥 | 也去霍霍非洲世界小姐们了 | Sexism. Racism | hate [SEP] 抖音上那群老板 | 也去霍霍非洲世界小姐们了 | Sexism, Racism | hate [END]
女性 | 生产力 | Sexism | hate [SEP] 女性 | 追求更大的权利地位，而不想承担责任 | Sexism | hate [END]
lkd | 随机带走几个 | Sexism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
这个黑人 | 非洲国家乌干达的 | non-hate | non-hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
NULL | 反自己民族主义的 | non-hate | non-hate [END]
黑人 | 作死害百姓 | Racism | hate [END]
国女 | 把我私信炸了 | Sexism | hate [END]
狐臭 | 闻见 | non-hate | non-hate [END]
你 | 独立的个人 | non-hate | non-hate [SEP] 你 | 应当拥有自由 | non-hate | non-hate [END]
黑人 | 心理膈应 | Racism | hate [END]
现代女生 | 接受教育 | non-hate | non-hate [END]
女的 | 哪个不是这样 | Sexism | hate [END]
他 | 对妻子不负责任，像陌生人 | non-hate | non-hate [END]
和印度人结婚的女的 | 华人圈子里也没有 | Racism | hate [SEP] 她 | 华人圈子里也没有 | Racism | hate [END]
NULL | 去喜欢中国的地方留学 | non-hate | non-hate [END]
非洲 | 别留在中国祸害人 | Racism | hate [END]
女性 | 接受高等教育比例超过男性 | non-hate | non-hate [SEP] 女性 | 不赞同 | non-hate | non-hate [SEP] 女性 | 不适合学理工科” | non-hate | non-hate [SEP] 女生 | 接受高等教育比例超过男性 | non-hate | non-hate [SEP] 女生 | 不赞同 | non-hate | non-hate [SEP] 女生 | 不适合学理工科” | non-hate | non-hate [END]
zzzq | 都魔怔了 | non-hate | non-hate [END]
我们 | 蝈腩😆 | Sexism | hate [END]
它们 | 穷 | Racism | hate [SEP] 他们 | 懒惰 | Racism | hate [END]
这个女人 | 没死 | non-hate | non-hate [END]
炳蔚通知书 | 落在头上是写着艾的，还砸出血了 | Sexism, others | hate [END]
南方人 | 骂东北人 | Region | hate [END]
河南 | 不要以为 | non-hate | non-hate [END]
女籍 | 开除 | Sexism | hate [END]
陕西关中人和陕南人 | 黑陕北人 | non-hate | non-hate [END]
某些山驴b | 喜欢拉黑本大爹 | Region | hate [END]
她 | 自甘堕落带给我的只有怒其不争的悲伤 | non-hate | non-hate [END]
黑蛆 | 清楚计划 | Racism | hate [END]
穷 | 原罪 | non-hate | non-hate [END]
繁殖的性需求 | 推动人类社会发展的重要动力 | non-hate | non-hate [END]
黄种人 | 不care | Racism | hate [SEP] 黄种人 | 为什么要那么在意别人怎么看 | LGBTQ | hate [END]
黑人 | 土人的一种 | Racism | hate [END]
NULL | 几个视频都看过 | non-hate | non-hate [END]
eg | 老外安上去 | Racism | hate [SEP] eg | 关中国人什么事 | Racism | hate [END]
这种女的 | 玩的浪不顾家 | Sexism | hate [SEP] 这种女的 | 管女儿的时候玩手机打牌 | Sexism | hate [SEP] 釹的 | 管女儿的时候玩手机打牌 | Sexism | hate [END]
男的 | 应该没有几个会娶 | Racism, Sexism | hate [SEP] 黑人女 | 应该没有几个会娶 | Racism, Sexism | hate [END]
恶心人的 | 在那里讲如何掰弯别人 | LGBTQ | hate [END]
河南 | 不好 | non-hate | non-hate [END]
ezg | 喜欢 | Sexism | hate [SEP] 老实人 | 祈求以后不会娶到和动物玩过的 | Sexism, Racism | hate [END]
西方 | 为了用身份政治来控制人民 | Region | hate [SEP] 西方 | 高高在上 | Region | hate [SEP] 过街老鼠 | 为了用身份政治来控制人民 | Region | hate [SEP] 过街老鼠 | 高高在上 | Region | hate [SEP] 资本财 | 为了用身份政治来控制人民 | Region | hate [SEP] 资本财 | 高高在上 | Region | hate [END]
你 | 嫁给嫁给日本人 | Region | hate [END]
她们 | 喜欢拳 | Sexism | hate [END]
黑人 | 太容易得到中国女生了 | Racism | hate [END]
你 | 贵物 | non-hate | non-hate [END]
南昌市 | 天下英雄城 文明 | Region | hate [END]
3391 一名被定罪的性犯罪者 | 致命驾车 | non-hate | non-hate [END]
这人 | 心里极其残忍 | non-hate | non-hate [END]
他们 | 张口闭口说只有同性才是真爱 | LGBTQ | hate [END]
性取向 | 别人的自由 | non-hate | non-hate [END]
深柜 | 竟在反同身边 | LGBTQ | hate [END]
NULL | 年度格斗场了 | non-hate | non-hate [END]
某些txl | 自欺欺人 | LGBTQ | hate [END]
两个上海人 | 举报说这两个人在偷偷骂他 | non-hate | non-hate [SEP] 这两个人 | 可怕的是、明明两个上海人在公司用上海话聊天、会被其他人举报说这两个人在偷偷骂他。 | non-hate | non-hate [END]
艾滋病 | 好好治也能活很久 | non-hate | non-hate [END]
安徽 | 没啥存在感吧 | Region | hate [END]
题主 | 反串女 | Sexism | hate [END]
物种问题 | 没得谈 | Racism | hate [END]
黑人 | 又发黑人丑照，滚滚滚 | Racism | hate [END]
基佬 | 艾滋 | LGBTQ, others | hate [END]
女拳 | 针对 | Sexism | hate [END]
她 | 中资企业还雇佣 | non-hate | non-hate [END]
回族 | 有什么问题？ | non-hate | non-hate [END]
男人 | 脑子不太聪明分不清sao货和良女 | Sexism | hate [SEP] 男人 | 不要婚前性行为 | Sexism | hate [END]
米国 | 各位就别管了 | non-hate | non-hate [END]
內個虛空法師 | 什麼豬精 | Sexism | hate [END]
处女膜 | 流血 | Sexism | hate [END]
南 | 经济重心从唐开始就往南移了，为何你觉得南方比北方穷 | non-hate | non-hate [END]
NULL | 撑同 | LGBTQ | hate [END]
河南人 | 听口音这么像 | on-hate | non-hate [END]
基狫 | 打出血 | LGBTQ | hate [END]
性别比例 | 因为性别比例失调啊，有什么不能理解吗？ | non-hate | non-hate [END]
娶黑人的 | 也会被骂 | Racism | hate [END]
小红书 | 妆改容貌焦虑 | non-hate | non-hate [END]
河南人 | 快被黑成贬义词了 | on-hate | non-hate [END]
极端nc女人 | 淘汰 | Sexism | hate [END]
地域黑 | 新闻标题非要扣到河南头上 | on-hate | non-hate [END]
吴施蒙 | 大家不信中国女人了 | on-hate | non-hate [END]
小仙女 | 就是想做 | Sexism | hate [END]
情商 | 太低 | others | hate [END]
评论区 | 谁破防了 | non-hate | non-hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 大开眼界 | Racism | hate [END]
你 | 让我看看 | non-hate | non-hate [END]
女性 | 对世界贡献更大 | non-hate | non-hate [SEP] 你 | 对世界贡献更大 | non-hate | non-hate [END]
人家 | 带着任务赚流量的🤣 | non-hate | non-hate [END]
同性恋 | 讨厌 | LGBTQ | hate [SEP] 同性恋 | 在官配CP或后宫番里面刷 | LGBTQ | hate [SEP] 一群NT | 讨厌 | LGBTQ | hate [SEP] 一群NT | 在官配CP或后宫番里面刷 | LGBTQ | hate [END]
你 | 读书读糊涂了 | non-hate | non-hate [END]
以前的工作 | 大都是体力活 | non-hate | non-hate [END]
女的 | 黑白在学校门口扭打 | Sexism, Racism | hate [END]
黑哥 | 常规操作了 | Racism | hate [END]
评论 | 踩 | non-hate | non-hate [END]
她们 | 自低自贱 | Sexism | hate [SEP] 她们 | 让我国混血变多，艾滋病变多 | Sexism, Racism | hate [SEP] 入汉族的黑串串 | 已经很多了 | Racism | hate [END]
河南人 | 还不错 | non-hate | non-hate [END]
NULL | 吧里有些老哥看不到所谓主要矛盾啊 | non-hate | non-hate [END]
这些女的 | 最后浪完回头找国内的 | Sexism, Racism | hate [SEP] 大部分 | 最后浪完回头找国内的 | Sexism, Racism | hate [END]
琪贵人 | 想掐死她吗？ | non-hate | non-hate [END]
台资 | 仅次于半导体的第二大无烟工业 | non-hate | non-hate [SEP] 台湾 | 仅次于半导体的第二大无烟工业 | non-hate | non-hate [END]
黑吹子 | 有啥可说的 | Racism | hate [END]
老外 | 觉得怪 | non-hate | non-hate [END]
黑人 | 原始社会 | Racism | hate [END]
爱 | 猩动保人士 | Racism | hate [END]
对面 | 搞不好也就15年 | non-hate | non-hate [END]
谁家街留子 | 要了马上就降两档次 | Sexism | hate [END]
他 | 真心听不懂 | non-hate | non-hate [END]
嘿枸 | 浑身弥漫着低劣程度的气息 | Racism | hate [SEP] 嘿枸 | 天生令人厌恶 | Racism | hate [END]
同性恋 | 恶心 | LGBTQ | hate [END]
它 | 抽 | others | hate [END]
重庆 | 反同吧吧主小号 | LGBTQ | hate [END]
同性恋 | 弄死他们 | LGBTQ | hate [END]
基佬 | 恶心 | LGBTQ | hate [END]
txl | 去死 | LGBTQ | hate [END]
果子狸 | 前几年很嚣张举报都没用 | non-hate | non-hate [END]
国男 | 性获取难度 | non-hate | non-hate [END]
我们内地 | 黑得很惨 | Region | hate [END]
女拳 | 回复楼里这个被我说破防的。为啥“有没有可能把人类分为男女属于封建余孽”是女拳？可以解释下吗？我觉得无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益就是女拳？那你这就被我说破防了，急的拉黑我。是不是跟大女权主义分子样虚伪的大男权主义分子？正因为我认为人类应该是个整体，所以我反女权，男权应该不会跟女权样认为人类应该分为男女吧？ | Sexism | hate [SEP] 女 | 回复楼里这个被我说破防的。为啥“有没有可能把人类分为男女属于封建余孽”是女拳？可以解释下吗？我觉得无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益就是女拳？那你这就被我说破防了，急的拉黑我。是不是跟大女权主义分子样虚伪的大男权主义分子？正因为我认为人类应该是个整体，所以我反女权，男权应该不会跟女权样认为人类应该分为男女吧？ | Sexism | hate [SEP] 女权 | 回复楼里这个被我说破防的。为啥“有没有可能把人类分为男女属于封建余孽”是女拳？可以解释下吗？我觉得无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益就是女拳？那你这就被我说破防了，急的拉黑我。是不是跟大女权主义分子样虚伪的大男权主义分子？正因为我认为人类应该是个整体，所以我反女权，男权应该不会跟女权样认为人类应该分为男女吧？ | Sexism | hate [END]
彩礼 | 违法 | non-hate | non-hate [END]
喵神 | 让人挑不出骨头来 | non-hate | non-hate [END]
她们 | 热爱自由我支持 | non-hate | non-hate [END]
哥布林 | 不出现在人类面前的 | Racism | hate [END]
我 | 自卑 | Region | hate [END]
杨圣母 | 恶心全体男性 | Sexism | hate [END]
仙女 | 中国还是纯黄种人为好 | Sexism, Racism | hate [END]
你们男的 | 恶心 | Sexism | hate [END]
来路不明的女的 | 感染艾滋病了 | Sexism, Racism | hate [END]
黑人 | 人种研究的书 | Racism | hate [END]
easy girl | 比国男好得多 | Sexism | hate [END]
NULL | 病态 | LGBTQ | hate [END]
畒 | 破防啦 | Sexism | hate [END]
河南人 | 不招 | Region | hate [END]
内卷 | 有底线 | non-hate | non-hate [SEP] 那个男的 | 一辈子抬不起头 | non-hate | non-hate [END]
NULL | 反同 | LGBTQ | hate [END]
b乎 | 人均985 | non-hate | non-hate [END]
东北人 | 很讨厌 | Region | hate [END]
人形畜狌 | 只有本能除了寄声就是寝犯种群 | Racism | hate [END]
四川 | 根本不是 | non-hate | non-hate [END]
贴吧系统 | 多发 | non-hate | non-hate [END]
中国女人 | 已经不是那样的 | Sexism | hate [END]
唐朝前期的公主外嫁 | 和后面的五胡乱华有很大关系哟 | non-hate | non-hate [END]
魔方基因 | 一听就不靠谱😆 | Racism | hate [END]
结了婚的通讯录 | 不出瑰的几乎为零 | LGBTQ | hate [END]
这个 | 友军 | non-hate | non-hate [END]
宁 | 比得上人家吗 | non-hate | non-hate [END]
你的意见 | 有个屁用 | others | hate [END]
河南人 | 辱骂 | non-hate | non-hate [END]
这女的 | 有精神类疾病 | non-hate | non-hate [END]
NULL | 臭gay | LGBTQ | hate [END]
重男轻女 | 因为计划生育导致女生出来不了 | non-hate | non-hate [END]
鼻涕虫 | 冷漠 | non-hate | non-hate [END]
这种人 | 崇媚 | Region | hate [SEP] 这种人 | 国内211 | Region | hate [SEP] 这种人 | 随便挑几个会比 | Region | hate [END]
穿衣服的猩猩 | 有一个穿衣服的猩猩，向甄子丹吐槽说他只是皮肤黑，就被人歧视。完全是在掩盖其兽性，转移目标。 | Racism | hate [END]
你这种烂鲍鱼 | 普信女⁉ | Sexism | hate [END]
欧洲小国 | 对中国人印象不错 | non-hate | non-hate [END]
基佬 | 炼铜是人尽皆知的 | LGBTQ | hate [END]
我 | 连谈恋爱都不想 | non-hate | non-hate [END]
艾资 | 现 | Racism | hate [SEP] 艾资 | 身染 | Racism | hate [END]
这样的男女 | 跟黑人出国，不乱生垃圾丢在国内污染环境 | Racism | hate [END]
河南 | 楼上就有一个感觉他们两广被黑了，很委屈。然后黑河南就觉得大家只是玩梗~玩梗～还要劝河南人别玩不起🙄 | Region | hate [SEP] 河南人 | 楼上就有一个感觉他们两广被黑了，很委屈。然后黑河南就觉得大家只是玩梗~玩梗～还要劝河南人别玩不起🙄 | Region | hate [END]
普信男 | 当普信男这个词的提出，必会带出普信女，男和女本来就是对立统一的 | Sexism | hate [SEP] 普信女 | 当普信男这个词的提出，必会带出普信女，男和女本来就是对立统一的 | Sexism | hate [SEP] 男 | 当普信男这个词的提出，必会带出普信女，男和女本来就是对立统一的 | Sexism | hate [END]
你 | 基因“本能 | LGBTQ | hate [SEP] 同性恋 | 基因“本能 | LGBTQ | hate [END]
白楠 | lkd | Racism | hate [SEP] 你 | lkd | Racism | hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | hate [END]
這男的 | 好像還原諒了她 | non-hate | non-hate [END]
微博 | 能是什么好地方！ | non-hate | non-hate [END]
我 | 发了一篇贵物男拳帖被删了 | Sexism | hate [END]
舔狗约炮 | 都 | Sexism | hate [SEP] 舔狗约炮 | 必须体验分娩 | Sexism | hate [END]
狗狗 | 猿形 | Racism | hate [END]
拳师 | 日常化的高级妆 | non-hate | non-hate [END]
浙江 | 并不宜居 | non-hate | non-hate [END]
东北河南 | 一家亲 | non-hate | non-hate [SEP] 东北河南 | 欢迎 | non-hate | non-hate [END]
三非黑人 | 别做 | Racism | hate [SEP] 三非 | 别做 | Racism | hate [END]
这种就是为牢房准备的犯人，从小就能看出他很有暴力倾向智商低喜欢攻击攻击人 | 智商低喜欢攻击攻击人 | Racism | hate [END]
txl | 骂 | LGBTQ | hate [END]
你 | 口味有点重啊 | non-hate | non-hate [END]
奏你是天津的啊？还我们滦河水！😠 | 奏你是天津的啊 | Region | hate [SEP] 奏你是天津的啊？还我们滦河水！😠 | 还我们滦河水！ | Region | hate [END]
我咋没看到反串差评 | 反串差评 | non-hate | non-hate [END]
基佬 | 在现实生活中活得太憋屈了 | LGBTQ | hate [SEP] 基佬 | 需要发泄 | LGBTQ | hate [END]
第二 | 删我评 | Sexism | hate [SEP] 母吠 | 删我评 | Sexism | hate [END]
你们同性恋 | 又 | LGBTQ | hate [SEP] 你们同性恋 | 幻想对方是0 | LGBTQ | hate [END]
女人 | 很土的运动鞋破皮鞋甚至露着脚踝袜子 | Sexism | hate [SEP] 男靴 | 很土的运动鞋破皮鞋甚至露着脚踝袜子 | Sexism | hate [SEP] 女靴 | 很土的运动鞋破皮鞋甚至露着脚踝袜子 | Sexism | hate [SEP] 男人 | 很土的运动鞋破皮鞋甚至露着脚踝袜子 | Sexism | hate [SEP] 大多 | 很土的运动鞋破皮鞋甚至露着脚踝袜子 | Sexism | hate [END]
这么好的肤色竟然在美国做乞丐。来中国山东大学不得飞黄腾达 | 这么好的 | Racism | hate [SEP] 这么好的肤色竟然在美国做乞丐。来中国山东大学不得飞黄腾达 | 竟然在美国做乞丐 | Racism | hate [END]
东北 | 被 | non-hate | non-hate [SEP] 东北 | 更受南方妹子欢迎 | non-hate | non-hate [SEP] 东北 | 这么有钱为哈还不受妹子待见呢 | non-hate | non-hate [SEP] 东北人 | 被 | non-hate | non-hate [SEP] 东北人 | 更受南方妹子欢迎 | non-hate | non-hate [SEP] 东北人 | 这么有钱为哈还不受妹子待见呢 | non-hate | non-hate [SEP] 南方人 | 被 | non-hate | non-hate [SEP] 南方人 | 更受南方妹子欢迎 | non-hate | non-hate [SEP] 南方人 | 这么有钱为哈还不受妹子待见呢 | non-hate | non-hate [END]
雀食男 | 雀食男同恶心 | Racism | hate [END]
这玩意 | 从笼子里面放出来的 | non-hate | non-hate [END]
江西 | 八竿子打不着的地方 | non-hate | non-hate [SEP] 江西 | 带节奏 | non-hate | non-hate [SEP] 苏北 | 八竿子打不着的地方 | non-hate | non-hate [SEP] 苏北 | 带节奏 | non-hate | non-hate [SEP] 少部分人 | 八竿子打不着的地方 | non-hate | non-hate [SEP] 少部分人 | 带节奏 | non-hate | non-hate [END]
好人 | 被枪指 | non-hate | non-hate [SEP] 好人 | 不管被骗的有罪 | non-hate | non-hate [SEP] 骗人的 | 被枪指 | non-hate | non-hate [SEP] 骗人的 | 不管被骗的有罪 | non-hate | non-hate [END]
中国 | 额正常中国男人会跟黑人女性交往吗… | Racism | hate [SEP] 黑人女性 | 额正常中国男人会跟黑人女性交往吗… | Racism | hate [END]
800的小姐 | 能提非常高的情绪价值 | Sexism | hate [END]
硅南 | 能不能死一死 | Region | hate [END]
66666在b站看过一个视频，不想别人歧视，就先停止对别人的歧视 | 先停止对别人的歧视 | Racism | hate [END]
嘿枸 | 涤清圣土桖洗 | Racism | hate [END]
江浙 | 地域黑最多 | Region | hate [SEP] 黑子 | 地域黑最多 | Region | hate [SEP] 江浙一带 | 地域黑最多 | Region | hate [END]
广东人 | 长相 | non-hate | non-hate [SEP] 广东人 | 以为攻击广西自己就不东南亚了？ | non-hate | non-hate [SEP] 广西人 | 长相 | non-hate | non-hate [SEP] 广西人 | 以为攻击广西自己就不东南亚了？ | non-hate | non-hate [END]
理中派 | 打拳的 | Region | hate [SEP] 理中派 | 想两 | Region | hate [END]
安徽 | 被黑很惨啊 | non-hate | non-hate [END]
非洲人 | 不要跟外国人上床、恋爱甚至结婚，尤其是 | Racism | hate [SEP] 黑人 | 不要跟外国人上床、恋爱甚至结婚，尤其是 | Racism | hate [END]
爱情 | 高贵的 | non-hate | non-hate [END]
吴越（包括上海本地） | 占大概70-80%， | non-hate | non-hate [SEP] 江淮 | 占大概70-80%， | non-hate | non-hate [END]
日本女人 | 才媚白 | Region | hate [END]
黑人 | 事太多了 | Racism | hate [END]
同性恋 | 真是太正确了 | LGBTQ | hate [END]
黑家伙 | 找谁不行，偏要找个黑家伙。 | Racism | hate [END]
国内国外都有反对的吧。。。只是国外比较开放 。。。 | 国内国外都有反对的吧。。。只是国外比较开放 。。。 | non-hate | non-hate [END]
非洲 | 说白了非洲很多国家从部落酋邦被殖民者强行拉进工业社会。没经历过早期摇篮就想直接浩瀚星宇，很蓝的啦 | Racism | hate [END]
